link,Nome,Endereco
https://www.smartfit.com.br/academias/av-getulio-vargas-ii,Av. Getúlio Vargas II,"Av. Getulio Vargas, 8-15 - Jardim Aeroporto"
https://www.smartfit.com.br/academias/av-getulio-vargas-i,Av. Getúlio Vargas I,"Av. Getúlio Vargas, 25-16 - Vila Aviação"
https://www.smartfit.com.br/academias/epitacio,Epitácio,"Avenida Presidente Epitácio Pessoa, 660 - Torre"
https://www.smartfit.com.br/academias/manaira-shopping,Manaíra Shopping,"Av. Governador Flávio Ribeiro Coutinho, 805 - Manaíra Shopping - 3º andar"
https://www.smartfit.com.br/academias/tambau,Tambaú,"Avenida Monsenhor Odilon Coutinho, 128 - Cabo Branco"
https://www.smartfit.com.br/academias/shopping-piratas,Shopping Piratas,"Estrada do Marinas, 91 - Praia do Jardim"
https://www.smartfit.com.br/academias/presidente-prudente,Presidente Prudente,"Rua Siqueira Campos, 1545 - Vila Roberto"
https://www.smartfit.com.br/academias/frei-aureliano,Frei Aureliano,"Rua Frei Aureliano Grottamari, 679 - Capuchinhos"
https://www.smartfit.com.br/academias/fraga-maia,Fraga Maia,"Av. Francisco Fraga Maia, 4727 - Cidade Nova"
https://www.smartfit.com.br/academias/shopping-itaguacu,Shopping Itaguaçu,"Rua Geroncio Thives, 1079 - Barreiros"
https://www.smartfit.com.br/academias/estreito,Estreito,"Avenida Marinheiro Max Schramm, 2492 - Estreito"
https://www.smartfit.com.br/academias/coqueiros,Coqueiros,"Rua João Roberto Sanford, 41 - Coqueiros"
https://www.smartfit.com.br/academias/beira-mar-norte,Beira Mar Norte,"Rua Jorn. Rubens de Arruda Ramos, 1280 - Centro"
https://www.smartfit.com.br/academias/agronomica,Agronômica,"Avenida Governador Irineu Bornhausen, 5288 - Agronômica"
https://www.smartfit.com.br/academias/floripa-shopping,Floripa Shopping,Rodovia SC - 401 - Saco Grande
https://www.smartfit.com.br/academias/anapolis,Anápolis,"Avenida Brasil Norte, 1080 - Cidade Jardim"
https://www.smartfit.com.br/academias/pinda,Pinda,"Rua Guilherme de Souza Silva, 3125 - Residencial e Comercial Vila Verde"
https://www.smartfit.com.br/academias/buriti-shopping,Buriti Shopping,"Avenida Rio Verde, s/n - Jardim Nova Era"
https://www.smartfit.com.br/academias/serrinha,Serrinha,Avenida T 4 - Setor Bueno
https://www.smartfit.com.br/academias/flamboyant,Flamboyant,"Av. Deputado Jamel Cecílio, 3900 - Jardim Goiás"
https://www.smartfit.com.br/academias/setor-bueno-i,Setor Bueno I,R: C-242 QUADRA 544 AREA 2 - Jardim América
https://www.smartfit.com.br/academias/setor-sul,Setor Sul,Rua 132 - Setor Sul
https://www.smartfit.com.br/academias/jardim-europa-1,Jardim Europa,"Avenida dos Alpes Ancora, nº 1700 - Loja 1895 - Jardim Europa"
https://www.smartfit.com.br/academias/setor-bueno-ii,Setor Bueno II,Rua T 44 - Setor Bueno
https://www.smartfit.com.br/academias/setor-oeste,Setor Oeste,Avenida República do Líbano - Setor Oeste
https://www.smartfit.com.br/academias/blumenau,Blumenau,"Via Expressa Paul Fritz Kuehnrich, 1600 - Itoupava Norte"
https://www.smartfit.com.br/academias/messejana,Messejana,"Rua Manuel Castelo Branco, 352 - Messejana"
https://www.smartfit.com.br/academias/edilson-brasil-soares,Edilson Brasil Soares,"Avenida Edilson Brasil Soares, Nº1167 - Edson Queiroz"
https://www.smartfit.com.br/academias/oliveira-paiva,Oliveira Paiva,"Avenida Oliveira Paiva, 1350 - Cidade dos Funcionários"
https://www.smartfit.com.br/academias/washington-soares,Washington Soares,"Av. Washington Soares, 1550 - Edson Queiroz"
https://www.smartfit.com.br/academias/coco,Cocó,"Rua Doutor Gilberto Studart, 155 - Cocó"
https://www.smartfit.com.br/academias/dionisio-torres,Dionísio Torres,"Avenida Senador Virgílio Távora, 2201 - Dionisio Torres"
https://www.smartfit.com.br/academias/papicu,Papicu,"Av. Eng. Santana Jr., 699 - Papicu"
https://www.smartfit.com.br/academias/santos-dumont,Santos Dumont ,"Avenida Santos Dumont, 3870 - Aldeota"
https://www.smartfit.com.br/academias/barbosa-de-freitas,Barbosa de Freitas,"Av. Santos Dumont, 3060 (loja 12 a 20) - Aldeota"
https://www.smartfit.com.br/academias/vicente-linhares,Vicente Linhares,"Rua Tibúrcio Cavalcante, 1885 - Meireles"
https://www.smartfit.com.br/academias/rui-barbosa,Rui Barbosa,"Avenida Rui Barbosa, 2727 - Joaquim Távora"
https://www.smartfit.com.br/academias/meireles,Meireles,"Avenida Senador Virgílio Távora, 303 - Meireles"
https://www.smartfit.com.br/academias/mucuripe,Mucuripe,"Avenida da Abolição, 3860 - Mucuripe"
https://www.smartfit.com.br/academias/fatima,Fátima,"Avenida Deputado Oswaldo Studart, 200 - Fátima"
https://www.smartfit.com.br/academias/jose-lourenco,José Lourenço,"Rua Doutor José Lourenço, 905 - Meireles"
https://www.smartfit.com.br/academias/parangaba,Parangaba,"Avenida Doutor Silas Munguba, 643 - Parangaba"
https://www.smartfit.com.br/academias/iracema,Iracema,"Rua Carlos Vasconcelos, 284 - Meireles"
https://www.smartfit.com.br/academias/rua-assuncao,Rua Assunção,"Rua Assunção, 665 - José Bonifácio"
https://www.smartfit.com.br/academias/vila-peri,Vila Peri ,"Rua Waldir Diogo, 1138 - Manuel Sátiro"
https://www.smartfit.com.br/academias/joquei-clube,Jóquei Clube,"Avenida Senador Fernandes Távora, 820 - Joquei Clube"
https://www.smartfit.com.br/academias/maracanau,Maracanaú,"Avenida Carlos Jereissati, 100 - Jereissati II"
https://www.smartfit.com.br/academias/jacarecanga,Jacarecanga,"Avenida Francisco Sá, Nº2670 - Jacarecanga"
https://www.smartfit.com.br/academias/north-shopping,North Shopping,"Avenida Bezerra de Menezes, 2450 - São Gerardo"
